Model Version,Region,Sector,Technology,Type,PathwayScenario,Year,Value 
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","ResidualCapacity","GradualDevelopment_globalLimit","2018",1.758
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","ResidualCapacity","GradualDevelopment_globalLimit","2025",0.69
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","ResidualCapacity","GradualDevelopment_globalLimit","2030",0.536
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.389
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.373
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","ResidualCapacity","GradualDevelopment_globalLimit","2045",0.353
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","ResidualCapacity","GradualDevelopment_globalLimit","2050",0.333
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","TotalCapacity","GradualDevelopment_globalLimit","2018",1.758
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","TotalCapacity","GradualDevelopment_globalLimit","2025",0.69
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","TotalCapacity","GradualDevelopment_globalLimit","2030",0.536
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","TotalCapacity","GradualDevelopment_globalLimit","2035",0.389
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","TotalCapacity","GradualDevelopment_globalLimit","2040",0.373
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","TotalCapacity","GradualDevelopment_globalLimit","2045",0.353
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Biomass","TotalCapacity","GradualDevelopment_globalLimit","2050",0.333
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","ResidualCapacity","GradualDevelopment_globalLimit","2018",0.8144648
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","ResidualCapacity","GradualDevelopment_globalLimit","2025",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","ResidualCapacity","GradualDevelopment_globalLimit","2030",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","ResidualCapacity","GradualDevelopment_globalLimit","2045",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","ResidualCapacity","GradualDevelopment_globalLimit","2050",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","TotalCapacity","GradualDevelopment_globalLimit","2018",0.8144648
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","TotalCapacity","GradualDevelopment_globalLimit","2025",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","TotalCapacity","GradualDevelopment_globalLimit","2030",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","TotalCapacity","GradualDevelopment_globalLimit","2035",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","TotalCapacity","GradualDevelopment_globalLimit","2040",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","TotalCapacity","GradualDevelopment_globalLimit","2045",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Coal_Hardcoal","TotalCapacity","GradualDevelopment_globalLimit","2050",0.0114648000000001
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","ResidualCapacity","GradualDevelopment_globalLimit","2018",1.187576
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","ResidualCapacity","GradualDevelopment_globalLimit","2025",0.213552952579421
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","ResidualCapacity","GradualDevelopment_globalLimit","2030",0.105470816510848
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","ResidualCapacity","GradualDevelopment_globalLimit","2035",0.00198949361765034
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","ResidualCapacity","GradualDevelopment_globalLimit","2040",0.00114556938166719
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","TotalCapacity","GradualDevelopment_globalLimit","2018",1.187576
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","TotalCapacity","GradualDevelopment_globalLimit","2025",0.213552952579421
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","TotalCapacity","GradualDevelopment_globalLimit","2030",0.105470816510848
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","TotalCapacity","GradualDevelopment_globalLimit","2035",0.00198949361765034
"oE_GradualDevelopment_efect_244_h0","AT","Power","P_Oil","TotalCapacity","GradualDevelopment_globalLimit","2040",0.00114556938166719
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","ResidualCapacity","GradualDevelopment_globalLimit","2018",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","ResidualCapacity","GradualDevelopment_globalLimit","2025",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","ResidualCapacity","GradualDevelopment_globalLimit","2030",7.846
"oE_GradualDevelopment_efect_244_h0","AT","Power","RES_Hydro_Large","ResidualCapacity","GradualDevelopment_globalLimit","2035",7.846
